objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
167503,AT,2024acty,16.4600201505,23.8036169524,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-11 09:43:03.360,20.19,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:15:10,PS24lwf,2024TNSTR4696....1C,,2024-11-30 23:15:11,2024-11-30 23:15:11
167502,AT,2024actx,356.660082762,-19.0401209206,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-07 08:19:19.200,20.78,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:14:41,PS24lwd,2024TNSTR4696....1C,,2024-11-30 23:14:43,2024-11-30 23:14:43
167501,AT,2024actw,323.741493329,16.4118507118,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-10 05:50:02.112,20.93,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:14:20,PS24lwc,2024TNSTR4696....1C,,2024-11-30 23:14:21,2024-11-30 23:14:21
167500,AT,2024actv,17.8478060331,10.0303864526,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-05 11:08:21.696,20.38,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:12:53,PS24lvw,2024TNSTR4696....1C,,2024-11-30 23:12:55,2024-11-30 23:12:55
167499,AT,2024actu,345.476502482,12.1209095229,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-03 06:08:55.680,20.82,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:12:38,PS24lvv,2024TNSTR4696....1C,,2024-11-30 23:12:39,2024-11-30 23:12:39
167498,AT,2024actt,323.968439461,-2.41781079889,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-09 07:21:38.016,21.5,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:12:02,PS24lvt,2024TNSTR4696....1C,,2024-11-30 23:12:04,2024-11-30 23:12:04
167496,AT,2024actr,69.5511903544,-8.27874648856,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-28 14:35:12.192,20.82,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:11:41,PS24lvr,2024TNSTR4696....1C,,2024-11-30 23:11:43,2024-11-30 23:11:43
167495,AT,2024actq,326.851807077,-13.1779025889,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-29 06:13:01.056,21.1,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:11:30,PS24lvq,2024TNSTR4696....1C,,2024-11-30 23:11:32,2024-11-30 23:11:32
167494,AT,2024actp,52.3644809419,-17.1206133355,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-15 13:43:25.248,20.75,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:10:57,PS24lvp,2024TNSTR4696....1C,,2024-11-30 23:10:59,2024-11-30 23:10:59
167493,AT,2024acto,359.533489287,-4.50897078021,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-05 11:53:25.152,21.04,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:10:47,PS24lvo,2024TNSTR4696....1C,,2024-11-30 23:10:49,2024-11-30 23:10:49
167492,AT,2024actn,33.3650487743,-19.1358569005,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-08 10:01:28.416,20.85,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:09:32,PS24lvm,2024TNSTR4696....1C,,2024-11-30 23:09:33,2024-11-30 23:09:33
167491,AT,2024actm,71.7787399667,1.34220478422,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-27 13:38:06.432,20.63,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:09:21,PS24lvl,2024TNSTR4696....1C,,2024-11-30 23:09:22,2024-11-30 23:09:22
167490,AT,2024actl,5.80254201467,1.1076376774,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-01 09:47:57.120,20.45,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 23:08:45,PS24lvi,2024TNSTR4696....1C,,2024-11-30 23:08:46,2024-11-30 23:08:46
167489,AT,2024actk,192.470848333,-15.0138033333,,,,18.0,ATLAS,18.0,ATLAS,2024-11-30 15:06:07.200,17.936,71.0,cyan,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",2024-11-30 20:07:55,ATLAS24qvp,2024TNSTR4693....1T,,2024-11-30 20:07:56,2024-11-30 20:07:56
167488,AT,2024actj,316.64766006,0.534078860788,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-28 06:38:36.384,20.67,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-30 18:35:53,PS24lvg,2024TNSTR4696....1C,,2024-11-30 18:35:54,2024-11-30 18:35:54
167483,AT,2024acte,79.587295,-7.9193675,,,,18.0,ATLAS,18.0,ATLAS,2024-11-30 10:13:08.256,19.274,71.0,cyan,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",2024-11-30 17:47:46,ATLAS24qvh,2024TNSTR4693....1T,,2024-11-30 17:47:48,2024-11-30 17:47:48
167481,AT,2024actc,162.246546667,-11.7777266667,,,,18.0,ATLAS,18.0,ATLAS,2024-11-30 14:17:14.784,19.29,71.0,cyan,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",2024-11-30 17:46:08,ATLAS24qvf,2024TNSTR4693....1T,,2024-11-30 17:46:09,2024-11-30 17:46:09
